ORIGID,CountyName,PopulationCensus16,IGEasting,IGNorthing,Lat,Long,UniqueGeographicIdentifier,ConfirmedCovidCases,PopulationProportionCovidCases,x,y,FID,TimeStampDate
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,6183,2020-03-04
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,6184,2020-03-04
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,6185,2020-03-04
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,6186,2020-03-04
,Wexford,149722,301627,141559,52.5164,-6.5037,,,,-6.5037,52.5164,6187,2020-03-04
,Wicklow,142425,311162,197894,53.0205,-6.3442,,,,-6.3442,53.0205,6188,2020-03-04
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,6189,2020-03-05
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,6190,2020-03-05
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,6191,2020-03-05
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,6192,2020-03-05
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,6193,2020-03-05
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,6194,2020-03-05
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,6195,2020-03-05
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,6196,2020-03-05
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,6197,2020-03-05
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,6198,2020-03-05
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,6199,2020-03-05
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,6200,2020-03-05
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,6201,2020-03-05
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,6202,2020-03-05
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,6203,2020-03-05
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,6204,2020-03-05
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,6205,2020-03-05
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,6206,2020-03-05
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,6207,2020-03-05
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,6208,2020-03-05
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,6209,2020-03-05
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,6210,2020-03-05
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,6211,2020-03-05
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,6212,2020-03-05
,Wexford,149722,301627,141559,52.5164,-6.5037,,,,-6.5037,52.5164,6213,2020-03-05
,Wicklow,142425,311162,197894,53.0205,-6.3442,,,,-6.3442,53.0205,6214,2020-03-05
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,6215,2020-03-06
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,6216,2020-03-06
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,6217,2020-03-06
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,6218,2020-03-06
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,6219,2020-03-06
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,6220,2020-03-06
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,6221,2020-03-06
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,6222,2020-03-06
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,6223,2020-03-06
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,6224,2020-03-06
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,6225,2020-03-06
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,6226,2020-03-06
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,6227,2020-03-06
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,6228,2020-03-06
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,6229,2020-03-06
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,6230,2020-03-06
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,6231,2020-03-06
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,6232,2020-03-06
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,6233,2020-03-06
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,6234,2020-03-06
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,6235,2020-03-06
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,6236,2020-03-06
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,6237,2020-03-06
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,6238,2020-03-06
,Wexford,149722,301627,141559,52.5164,-6.5037,,,,-6.5037,52.5164,6239,2020-03-06
,Wicklow,142425,311162,197894,53.0205,-6.3442,,,,-6.3442,53.0205,6240,2020-03-06
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,6241,2020-03-07
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,6242,2020-03-07
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,6243,2020-03-07
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,6244,2020-03-07
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,6245,2020-03-07
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,6246,2020-03-07
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,6247,2020-03-07
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,6248,2020-03-07
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,6249,2020-03-07
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,6250,2020-03-07
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,6251,2020-03-07
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,6252,2020-03-07
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,6253,2020-03-07
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,6254,2020-03-07
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,6255,2020-03-07
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,6256,2020-03-07
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,6257,2020-03-07
